League,Division,Team,Wins,Losses,Win Pct,GB,Home,Away,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
American League,East,NYY,94,68,0.58,0.0,44-37,50-31,28.59090909090909,73.72727272727273,247.72727272727272,37.04545454545455,61.45454545454545,11.045454545454545,0.6818181818181818,10.772727272727273,35.54545454545455,4.0,1.1818181818181819,30.545454545454547,60.27272727272727,0.6363636363636364,2.590909090909091,2.227272727272727,0.29813636363636364,0.3743636363636364,0.43986363636363635,0.8142272727272727
American League,East,BAL,91,71,0.562,3.0,44-37,47-34,27.666666666666668,63.148148148148145,206.1851851851852,29.11111111111111,51.51851851851852,9.703703703703704,1.2222222222222223,8.703703703703704,28.11111111111111,3.6296296296296298,0.9259259259259259,18.11111111111111,50.333333333333336,0.2222222222222222,1.6666666666666667,2.3703703703703702,0.24122222222222223,0.29737037037037034,0.39551851851851855,0.6928888888888888
American League,East,BOS,81,81,0.5,13.0,38-43,43-38,28.76,68.92,223.08,30.04,56.16,12.44,1.2,7.76,28.96,5.76,1.76,19.72,62.8,0.28,1.6,2.92,0.20392,0.28716,0.32911999999999997,0.61628
American League,East,TB,80,82,0.494,14.0,42-39,38-43,27.92,67.56,215.56,24.16,49.64,9.8,0.92,5.88,22.56,7.12,2.12,19.72,59.4,0.4,1.28,3.12,0.21116,0.27544,0.32728,0.60272
American League,East,TOR,74,88,0.457,20.0,39-42,35-46,28.36,67.68,216.4,26.84,52.24,11.2,1.04,6.24,25.6,2.88,0.64,20.4,49.32,0.56,1.8,3.12,0.23315999999999998,0.3096,0.35444000000000003,0.66404
American League,Central,CLE,92,69,0.571,0.0,50-30,42-39,26.761904761904763,81.04761904761905,252.85714285714286,33.714285714285715,60.142857142857146,11.666666666666666,0.8571428571428571,8.80952380952381,31.904761904761905,7.0476190476190474,2.1904761904761907,22.19047619047619,56.95238095238095,0.8095238095238095,2.0476190476190474,4.142857142857143,0.20900000000000002,0.2787142857142857,0.34114285714285714,0.6198571428571429
American League,Central,KC,86,76,0.531,6.5,45-36,41-40,29.666666666666668,83.0,258.14285714285717,35.0,63.95238095238095,12.571428571428571,1.6666666666666667,8.095238095238095,33.857142857142854,6.380952380952381,1.4761904761904763,20.428571428571427,55.285714285714285,1.0952380952380953,2.5714285714285716,2.4761904761904763,0.2141904761904762,0.275,0.3301904761904762,0.6051904761904762
American League,Central,DET,86,76,0.531,6.5,43-38,43-48,27.565217391304348,74.95652173913044,236.6086956521739,29.652173913043477,55.34782608695652,10.608695652173912,2.0434782608695654,7.043478260869565,28.52173913043478,3.3043478260869565,1.0434782608695652,20.695652173913043,63.52173913043478,0.17391304347826086,1.7826086956521738,2.260869565217391,0.21960869565217392,0.2866086956521739,0.3651304347826087,0.6517391304347826
American League,Central,MIN,82,80,0.506,10.5,43-38,39-42,28.61904761904762,83.80952380952381,261.42857142857144,35.333333333333336,64.38095238095238,14.714285714285714,1.0952380952380953,8.714285714285714,33.42857142857143,3.0952380952380953,1.0952380952380953,22.523809523809526,62.19047619047619,0.47619047619047616,2.238095238095238,4.809523809523809,0.23438095238095236,0.3068095238095238,0.3947142857142857,0.7015238095238094
American League,Central,CWS,41,121,0.253,51.5,23-58,18-63,29.03448275862069,57.3448275862069,185.6206896551724,17.482758620689655,40.93103448275862,7.793103448275862,0.3103448275862069,4.586206896551724,16.724137931034484,3.103448275862069,1.1379310344827587,13.620689655172415,48.37931034482759,0.6206896551724138,0.9310344827586207,1.4827586206896552,0.19303448275862067,0.25551724137931037,0.28655172413793106,0.5420689655172414
American League,West,HOU,88,73,0.547,0.0,46-35,42-38,29.416666666666668,69.375,230.41666666666666,30.833333333333332,60.333333333333336,11.0,0.6666666666666666,7.916666666666667,29.208333333333332,3.875,1.0,18.666666666666668,49.0,0.5,1.9166666666666667,2.7916666666666665,0.20195833333333335,0.26075,0.3162083333333333,0.5769583333333334
American League,West,SEA,85,77,0.525,3.5,49-32,36-45,29.041666666666668,70.91666666666667,222.04166666666666,28.166666666666668,49.791666666666664,9.5,0.5416666666666666,7.708333333333333,26.75,5.833333333333333,1.1666666666666667,23.791666666666668,67.66666666666667,0.5833333333333334,1.4166666666666667,4.833333333333333,0.21858333333333335,0.29733333333333334,0.3425416666666667,0.639875
American League,West,TEX,78,84,0.481,10.5,44-37,34-47,28.458333333333332,68.625,228.0,28.458333333333332,54.25,9.166666666666666,0.625,7.333333333333333,27.166666666666668,4.041666666666667,1.0416666666666667,20.416666666666668,53.5,0.25,1.25,2.2916666666666665,0.208125,0.281375,0.337875,0.61925
American League,West,OAK,69,93,0.426,19.5,38-43,31-50,27.52173913043478,73.52173913043478,236.17391304347825,27.956521739130434,55.08695652173913,10.434782608695652,0.8260869565217391,8.521739130434783,26.91304347826087,4.260869565217392,1.1304347826086956,21.434782608695652,65.30434782608695,0.8260869565217391,1.608695652173913,2.3043478260869565,0.21334782608695652,0.28308695652173915,0.33752173913043476,0.6206086956521739
American League,West,LAA,63,99,0.389,25.5,32-49,31-50,29.0,56.44827586206897,184.72413793103448,21.896551724137932,42.310344827586206,7.827586206896552,0.5172413793103449,5.689655172413793,20.551724137931036,4.586206896551724,1.7241379310344827,16.620689655172413,48.827586206896555,0.41379310344827586,1.206896551724138,2.9655172413793105,0.2023103448275862,0.2757241379310345,0.3207241379310345,0.5964482758620689
National League,East,PHI,95,67,0.586,0.0,54-27,41-40,29.523809523809526,78.28571428571429,263.5238095238095,37.333333333333336,67.76190476190476,13.571428571428571,1.1428571428571428,9.428571428571429,35.714285714285715,7.0476190476190474,1.4285714285714286,24.523809523809526,65.23809523809524,0.6190476190476191,1.9047619047619047,2.9523809523809526,0.23438095238095236,0.29742857142857143,0.38376190476190475,0.6811904761904761
National League,East,ATL,89,73,0.549,6.0,46-35,43-38,30.074074074074073,60.888888888888886,203.0,26.074074074074073,49.370370370370374,10.11111111111111,0.5555555555555556,7.888888888888889,24.962962962962962,2.5555555555555554,0.7407407407407407,17.962962962962962,54.111111111111114,0.3333333333333333,1.4444444444444444,2.1481481481481484,0.21685185185185188,0.2718148148148148,0.33911111111111114,0.610925925925926
National League,East,NYM,89,73,0.549,6.0,46-35,43-38,30.772727272727273,78.45454545454545,250.45454545454547,34.86363636363637,61.68181818181818,12.681818181818182,0.6818181818181818,9.409090909090908,33.40909090909091,4.818181818181818,1.0,23.363636363636363,62.81818181818182,0.45454545454545453,1.6363636363636365,4.181818181818182,0.22372727272727272,0.3029090909090909,0.3567272727272727,0.6596363636363637
National League,East,WSH,71,91,0.438,24.0,38-43,33-48,27.28,61.96,206.04,25.44,50.8,10.32,0.72,5.0,23.76,8.8,2.88,16.96,44.72,1.04,1.56,2.76,0.25988,0.32512,0.40176,0.72688
National League,East,MIA,62,100,0.383,33.0,30-51,32-49,28.03448275862069,60.03448275862069,190.41379310344828,21.96551724137931,46.44827586206897,8.379310344827585,0.7931034482758621,5.172413793103448,21.06896551724138,4.310344827586207,1.4827586206896552,13.89655172413793,48.62068965517241,0.8275862068965517,1.4137931034482758,1.896551724137931,0.23151724137931035,0.27810344827586203,0.33699999999999997,0.615103448275862
National League,Central,MIL,93,69,0.574,0.0,47-34,46-35,27.681818181818183,77.5,248.72727272727272,35.31818181818182,61.77272727272727,11.318181818181818,1.5,8.045454545454545,33.72727272727273,9.863636363636363,1.9090909090909092,27.136363636363637,66.31818181818181,0.6818181818181818,1.5454545454545454,2.090909090909091,0.20345454545454544,0.26636363636363636,0.31886363636363635,0.5852272727272727
National League,Central,CHC,83,79,0.512,10.0,44-37,39-42,28.869565217391305,74.30434782608695,236.56521739130434,32.0,57.30434782608695,11.0,1.2608695652173914,7.391304347826087,30.26086956521739,6.217391304347826,1.3043478260869565,23.73913043478261,59.21739130434783,0.7391304347826086,1.7826086956521738,3.0434782608695654,0.21717391304347827,0.27752173913043476,0.33895652173913043,0.6164782608695653
National League,Central,STL,83,79,0.512,10.0,44-37,39-42,28.45,84.15,275.35,33.6,68.15,12.85,1.05,8.25,31.95,4.55,1.45,23.9,65.9,0.85,2.35,2.8,0.22640000000000002,0.29575,0.36245,0.6582
National League,Central,CIN,77,85,0.475,16.0,39-42,38-43,28.3,56.233333333333334,177.5,23.3,41.0,8.566666666666666,0.9666666666666667,5.8,22.1,6.9,1.5,16.533333333333335,48.63333333333333,0.6,1.4333333333333333,2.9,0.18526666666666666,0.27263333333333334,0.3002666666666666,0.5729000000000001
