Team,year,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,League,Wins,Losses,Win_Pct,Home_Record,Away_Record,Age_ERA,G_ERA,GS,CG,SHO,IP,H_ERA,ER,K,BB_ERA,HR_ERA,W,L,SV,BS,HLD,ERA,WHIP
ARI,2015,35.904761904761905,78.9047619047619,255.47619047619048,34.714285714285715,68.0952380952381,13.19047619047619,2.5714285714285716,9.0,33.0,6.428571428571429,1.4285714285714286,21.761904761904763,61.95238095238095,0.8571428571428571,1.6666666666666667,2.380952380952381,0.22928571428571431,0.2915714285714286,0.40219047619047615,0.6937619047619047,National League,79,83,0.488,43--38,36--45,36.2962962962963,26.37037037037037,6.0,0.037037037037037035,0.037037037037037035,54.07037037037038,53.7037037037037,24.444444444444443,45.0,18.51851851851852,6.7407407407407405,2.925925925925926,3.074074074074074,1.6296296296296295,0.7777777777777778,3.185185185185185,4.778148148148148,1.4533333333333334
ARI,2016,36.130434782608695,73.1304347826087,227.17391304347825,34.21739130434783,58.95652173913044,13.347826086956522,1.6521739130434783,9.521739130434783,33.130434782608695,4.478260869565218,1.3043478260869565,24.434782608695652,57.608695652173914,0.30434782608695654,1.173913043478261,2.260869565217391,0.2376521739130435,0.30582608695652175,0.4257391304347826,0.7315652173913044,National League,69,93,0.426,39--42,30--51,35.51724137931034,25.413793103448278,5.586206896551724,0.06896551724137931,0.06896551724137931,49.79655172413793,53.89655172413793,28.310344827586206,45.44827586206897,20.79310344827586,6.9655172413793105,2.3793103448275863,3.206896551724138,1.0689655172413792,0.7586206896551724,2.3793103448275863,5.445172413793103,1.562758620689655
ARI,2017,36.27272727272727,76.0909090909091,235.13636363636363,30.90909090909091,56.68181818181818,11.454545454545455,2.272727272727273,8.0,29.227272727272727,3.4545454545454546,1.1363636363636365,24.772727272727273,60.27272727272727,0.45454545454545453,1.9545454545454546,2.3636363636363638,0.21631818181818183,0.28154545454545454,0.3588636363636364,0.6404090909090909,National League,93,69,0.574,52--29,41--40,35.904761904761905,32.0,7.714285714285714,0.09523809523809523,0.047619047619047616,68.29047619047618,62.23809523809524,27.857142857142858,70.57142857142857,24.523809523809526,8.142857142857142,4.428571428571429,3.2857142857142856,2.0476190476190474,0.9047619047619048,4.380952380952381,3.996666666666667,1.309047619047619
ARI,2018,34.142857142857146,80.95238095238095,254.14285714285714,37.714285714285715,66.0,13.523809523809524,1.8571428571428572,10.238095238095237,35.95238095238095,4.142857142857143,0.6666666666666666,25.38095238095238,57.857142857142854,0.23809523809523808,1.8571428571428572,3.3333333333333335,0.23233333333333336,0.30657142857142855,0.4037619047619047,0.7103333333333334,National League,82,80,0.506,40--41,42--39,35.74074074074074,27.074074074074073,6.0,0.07407407407407407,0.037037037037037035,53.77777777777778,48.407407407407405,22.296296296296298,53.51851851851852,19.296296296296298,6.333333333333333,3.037037037037037,2.925925925925926,1.4444444444444444,1.0,4.148148148148148,4.663333333333333,1.4544444444444447
ARI,2019,33.3,30.15,99.85,13.45,24.1,5.05,0.6,2.9,12.75,1.15,0.35,9.05,23.05,0.05,1.15,1.8,0.21115,0.29675,0.33885,0.6355999999999999,National League,85,77,0.525,44--37,41--40,33.833333333333336,29.708333333333332,6.75,0.0,0.0,60.525,57.833333333333336,28.375,59.416666666666664,21.333333333333332,9.041666666666666,3.5416666666666665,3.2083333333333335,1.875,1.0,3.8333333333333335,4.1883333333333335,1.3570833333333334
ARI,2020,32.17857142857143,61.607142857142854,187.17857142857142,23.678571428571427,45.285714285714285,10.75,1.1071428571428572,5.107142857142857,22.464285714285715,1.4642857142857142,0.5714285714285714,18.5,47.0,0.21428571428571427,0.9285714285714286,1.8214285714285714,0.2139642857142857,0.2975,0.3480714285714286,0.6455714285714286,National League,25,35,0.417,13--17,12--18,32.64,10.36,2.4,0.0,0.0,20.516,20.2,11.16,20.96,9.4,3.72,1.0,1.4,0.52,0.36,0.76,7.370799999999999,1.992
ARI,2021,29.615384615384617,65.57692307692308,205.80769230769232,27.0,47.38461538461539,10.076923076923077,0.9230769230769231,6.653846153846154,25.307692307692307,4.0,1.1153846153846154,20.423076923076923,51.57692307692308,1.1923076923076923,1.9230769230769231,2.3076923076923075,0.20384615384615384,0.28242307692307694,0.3395,0.621923076923077,National League,52,110,0.321,27--54,25--56,32.111111111111114,20.02777777777778,4.5,0.08333333333333333,0.08333333333333333,38.952777777777776,40.861111111111114,22.38888888888889,34.361111111111114,15.36111111111111,6.361111111111111,1.4444444444444444,3.0555555555555554,0.6111111111111112,0.7777777777777778,1.8888888888888888,7.818611111111112,1.7991666666666666
ARI,2022,29.25,71.0,226.5,31.083333333333332,56.625,11.416666666666666,1.8333333333333333,6.916666666666667,29.416666666666668,6.916666666666667,1.0833333333333333,22.5,51.958333333333336,1.5,2.0833333333333335,2.4166666666666665,0.22504166666666667,0.296375,0.3408333333333333,0.6372083333333333,National League,74,88,0.457,37--44,37--44,31.806451612903224,22.612903225806452,5.225806451612903,0.0,0.0,45.74516129032258,43.0,21.612903225806452,39.193548387096776,16.193548387096776,6.129032258064516,2.3870967741935485,2.838709677419355,1.064516129032258,0.8709677419354839,2.5161290322580645,5.344193548387097,1.5006451612903227
ARI,2023,29.25,71.0,226.5,31.083333333333332,56.625,11.416666666666666,1.8333333333333333,6.916666666666667,29.416666666666668,6.916666666666667,1.0833333333333333,22.5,51.958333333333336,1.5,2.0833333333333335,2.4166666666666665,0.22504166666666667,0.296375,0.3408333333333333,0.6372083333333333,National League,84,78,0.519,43--38,41--40,29.933333333333334,23.4,5.4,0.03333333333333333,0.03333333333333333,47.419999999999995,45.333333333333336,23.566666666666666,45.0,17.433333333333334,6.566666666666666,2.8,2.6,1.4666666666666666,0.8666666666666667,2.533333333333333,4.699,1.4436666666666667
ARI,2024,29.19047619047619,82.85714285714286,262.9047619047619,42.19047619047619,69.14285714285714,12.904761904761905,1.7619047619047619,10.047619047619047,40.23809523809524,5.666666666666667,1.4285714285714286,27.095238095238095,60.19047619047619,1.619047619047619,3.142857142857143,4.0,0.24085714285714285,0.3173809523809524,0.39171428571428574,0.7090952380952381,National League,89,73,0.549,44--37,45--36,29.033333333333335,23.2,5.4,0.0,0.0,47.78,48.8,24.666666666666668,43.766666666666666,16.0,6.0,2.966666666666667,2.433333333333333,1.2666666666666666,0.8333333333333334,2.8333333333333335,6.658,1.6563333333333332
