Team,year,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,League,Wins,Losses,Win_Pct,Home_Wins,Home_Losses,Away_Wins,Away_Losses,Home_WinDiff,Away_WinDiff,Total_WinDiff,Age_ERA,G_ERA,GS,CG,SHO,IP,H_ERA,ER,K,BB_ERA,HR_ERA,W,L,SV,BS,HLD,ERA,WHIP
ARI,2015,1.2106925166509688,0.7325314137476747,0.7318113462702318,0.6217983345838569,0.9626833477434878,0.7556819754748405,3.451397188935569,0.4479361418048839,0.5975847293264194,1.560650335295423,0.5329480303013002,0.1538921495642294,0.6554244611814857,0.814997817930256,0.08120862055313988,-0.33328909470570284,0.19179472649103074,-0.17140227964871427,1.0432560116508989,0.6281127945867372,National League,0.15380449405033572,0.36487200823327787,-0.15197553973483743,0.2370977584943711,0.2643748045903716,0.05466371373463758,0.43227091759776065,-0.007901264434038746,-0.291687455604198,-0.1666442954239927,0.9840169602372952,0.6185889196970366,0.45805611648348954,-0.36071879032164855,0.14341520378714545,0.5394269896437904,0.7127866451076789,0.4004793110418034,-0.03145631726546531,0.38454866255975284,0.27867916138417864,0.2436648858057929,0.5476079272002762,0.5676495971149407,0.226832058473374,0.4661329257309027,-0.503753470818665,-0.36953716182240404
ARI,2016,1.2911390912993903,0.3427477633902377,0.15902102235130808,0.5582854089391445,0.2866552612434936,0.8100689239137926,1.419988013890388,0.6645803585226531,0.6149685613900174,0.4172875279608581,0.25784326256510925,0.6611908247521727,0.2963489229247724,-0.7579870896964744,-0.8779832047966056,-0.47405304521517594,0.6493197480079995,0.5350630035025761,1.7268676141453687,1.359192326319644,National League,-0.35102426103829354,0.8711698919982335,-0.9102225995706594,-0.14276513895989454,0.6705844915410067,-0.5416677088250482,0.9940670559919622,-0.6004960969869457,-1.1524045377149463,-0.9652591297242771,0.7027513853318839,0.4367187231987607,0.14195525027391992,0.0782554851314386,0.9435373620279351,0.17940947302494922,0.7293322709335806,1.10279517107276,0.006594168026436172,0.946706807156982,0.4244014780551206,-0.3981049310648814,0.733693878266402,-0.6630073895410307,0.13812673632516737,-0.4241008442439957,-0.005929893665618639,0.2013864536605088
ARI,2017,1.341862703004317,0.542588274374042,0.32016758255765304,0.13541923694781383,0.1183861703468488,0.15566902636903493,2.791313986479242,0.03270139309582665,0.09477055645659026,-0.18286208689078262,-0.11417341198723975,0.7253310100419378,0.5165740363871835,-0.3305979319551973,0.6415920800154912,-0.3535873446224292,-0.5173428102335408,-0.6682926566593838,-0.2145114215861108,-0.4036790631938325,National League,0.8605647511744167,-0.34394502903766,0.8997865110051733,1.0917892777664688,-0.6495969910485576,0.5516065658677091,-0.03589253106407394,1.325437108810002,0.42557677948809225,0.9514164725964056,0.8426596010459578,1.6889278064318856,1.7676168479231353,0.43946860321855025,0.4085985476612357,1.7372988712512765,1.4450049414730584,1.0204622343453593,2.1390938931769465,1.8687417586869535,1.1876694240596546,2.00788925554774,0.8441185085693776,1.4851358178857932,0.8148216224271992,1.7870729593318735,-1.0870004779028895,-1.1223441560073324
ARI,2018,0.5826188008178786,0.8707515751687959,0.7048269301324271,1.005257623163809,0.8076900483465699,0.8708964320363046,1.8729373569747865,0.9620363068732402,0.9910663884167499,0.22065825536192019,-1.1543612118140045,0.8407690544662624,0.31688708526548015,-0.9465096254420002,0.45198865388161297,0.7831146507142551,0.3584556598424238,0.5720023647130996,1.0888741940223863,0.9485882079166129,National League,0.3052531205769245,0.21298264310379117,0.06816070344330462,-0.04779941459632814,0.569032069803348,0.6509951362943234,-0.12952522079644085,-0.452347388848719,0.5690296265065503,0.07294015486609265,0.7834423289522894,0.7523812805388924,0.45805611648348954,0.1484913692039325,0.14341520378714545,0.5147796034803378,0.2583845901406951,0.010226494202666707,0.6916113092216614,0.5767745525427472,0.014557462418096878,0.3741180962444581,0.34005052024190546,0.16116836006456303,1.2558137953925683,1.5298987934980555,-0.5894437893950202,-0.36373996824782173
ARI,2019,0.28216191513556,-2.5585549181363856,-2.4178000680428244,-2.096197622803089,-2.291823682093151,-2.0580196458369118,-0.9051519472761903,-2.0849958253203655,-2.101255198547181,-1.5338938743010107,-1.855649115568178,-2.258762978904163,-2.560483785964801,-1.4817368870820318,-0.9245322198503437,-1.014295379411877,-0.7999680308039394,0.08524932376191231,-0.7955023302107498,-0.4966822336923075,National League,0.4567017471035133,0.06109327797430448,0.3005267379091212,0.33206348285793746,0.16282238285271278,0.5516065658677091,-0.03589253106407394,0.140247443704188,0.42557677948809225,0.31252460515617797,0.09480276154043875,1.2532224207955776,1.0309889364883345,-0.8699289498472296,-0.7847264997721705,1.0831514483318436,1.0670931425120056,1.114541038404794,1.1922570462567694,1.0802233120220173,1.770366483953981,0.966593093653395,0.7357068272563002,1.1062372362066915,1.2558137953925683,1.1821291828818712,-0.9439529299568771,-0.8717190552205178
ARI,2020,-0.11759851750955436,-0.43510750802493336,-0.6504171839314119,-0.7887840484066814,-0.7246300706911374,-0.08785243863587774,0.2155545334159652,-1.1685134156696606,-0.8065736105725436,-1.349644963310154,-1.3652748670784176,-0.46520085024878777,-0.5806306090234643,-1.0142599117255484,-1.3555640085946934,-0.989176295139928,-0.646067075162264,0.12241955598000177,-0.5278065418398822,-0.3038444418782962,National League,-2.5722707834282623,-2.065357833838509,-1.0202907211597305,-2.611873972412621,-1.8682260519004632,-2.3306619765041057,-2.0958117051761462,-0.6745704510560591,-0.07650818507651094,-0.406228745714078,-0.3360315464597533,-2.425398540551256,-2.2920214195397666,-0.8699289498472296,-0.7847264997721705,-2.287122775891708,-2.1617035571519954,-2.012897936266157,-2.0720160346579184,-1.8690710571456366,-1.6796631811316052,-2.0175240951310687,-1.7977907714293164,-1.867985975290923,-1.7076536069347115,-2.2129204981688346,1.4312334339731394,2.4409422831346603
ARI,2021,-1.0313086685577988,-0.16713595178139135,-0.2733952213686671,-0.36423983605030563,-0.5693658039875816,-0.3204970143849878,-0.191202423281621,-0.5262684609355964,-0.4276156231421849,0.13690875036607603,-0.16063341297205816,-0.10021059207716061,-0.20227421259497674,1.7687133863832825,0.5803355884953152,-0.41916630589185366,-1.1993833770251057,-0.6247974198913603,-0.776632991138906,-0.7611807081156206,National League,-1.2092331446889633,1.731876294398658,-2.1943506847764866,-1.2823538313226914,1.8892135523929123,-1.0386105609581198,1.4622305046537967,-2.378280594645667,-1.8696687728072368,-2.322904348034761,-0.5269785954430775,-0.5873027536802189,-0.6878095235262005,0.27579390908532775,1.3035923332362904,-0.7340472948203985,-0.3890588972685555,0.027047736307801766,-0.9345049073021048,-0.3957969146331168,0.03256576007487511,-1.4957112533764085,0.5216632513304796,-1.667997206662137,0.226832058473374,-0.9658595885710339,1.765450554255352,1.4348393382660574
ARI,2022,-1.1615588830159091,0.198937302214976,0.14538215984687453,0.15769086229462895,0.11418309792002138,0.14257647448705002,1.82032202924276,-0.41713625133898524,0.12001223180146144,1.8467944773645566,-0.2316139700321974,0.29397888674819656,-0.17074451289260287,2.6442555475860607,0.8922899434591749,-0.29142395425245454,-0.04029364358620354,0.06666420765286621,-0.737926654581281,-0.46557862137846723,National League,-0.09860988349397891,0.6180209501157556,-0.5310990696527481,-0.33269658768702737,0.8736893350163244,0.15405228416125188,0.3386382278653937,-0.8967935132633992,-0.14823460858573997,-0.5659517125741349,-0.6369711351800176,-0.09580322775226288,-0.13335840739247964,-0.8699289498472296,-0.7847264997721705,-0.16187115761699994,-0.2055503750703509,-0.11392512494749281,-0.5243186825848811,-0.19006206233564896,-0.11789066228336921,-0.38896304868708836,0.21785946614544513,-0.6727737907871799,0.6583405287943265,-0.27295998487654843,-0.08129395848665995,-0.12268891929184081
ARI,2023,-1.1615588830159091,0.198937302214976,0.14538215984687453,0.15769086229462895,0.11418309792002138,0.14257647448705002,1.82032202924276,-0.41713625133898524,0.12001223180146144,1.8467944773645566,-0.2316139700321974,0.29397888674819656,-0.17074451289260287,2.6442555475860607,0.8922899434591749,-0.29142395425245454,-0.04029364358620354,0.06666420765286621,-0.737926654581281,-0.46557862137846723,National League,0.40621887159465037,0.11172306635080004,0.22714799018307388,0.2370977584943711,0.2643748045903716,0.5516065658677091,-0.03589253106407394,-0.007901264434038746,0.42557677948809225,0.23266312172614953,-1.3132311500802993,0.053844322880359535,-0.0002901395203861863,-0.41163980627420665,0.05060103343121389,-0.020786258395384075,-0.005359259945036217,0.2410139358851217,-0.03145631726546531,0.11634777796443228,0.16582716273503464,0.09581791397530547,-0.11657577506651086,0.2099461085106082,0.6384247532410519,-0.2539547386037855,-0.5628245065598492,-0.4199727459212625
ARI,2024,-1.1827775896318922,0.9993284695140251,0.8821530933237139,1.5774032283465944,1.040179997441946,0.656926726993586,1.6624760460466819,0.8829439737858009,1.5622494419349728,1.113986308650922,0.5329480303013002,1.1661317988935416,0.5097746599152975,2.9830069790038025,2.954753878848806,1.5645972725082256,0.824585457809599,1.107725711602409,0.7391347958409823,0.9246446425528863,National League,0.658633249138965,-0.14142587553167776,0.5940417288133106,0.33206348285793746,0.16282238285271278,0.9491608475741663,-0.4104232899935416,0.140247443704188,0.9993881675619245,0.6319705388762917,-1.6381620527620073,0.015819125588463726,-0.0002901395203861863,-0.8699289498472296,-0.7847264997721705,0.009539386352560152,0.29206753966971627,0.44085029209412846,-0.13614393449164502,-0.23789707643279998,-0.20154210946324252,0.29149772963330345,-0.35007785789467866,-0.22905362750379973,0.4840774927031727,0.07744924327752013,0.8992458226205261,0.6896101042536177
