Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Connor Joe,SD,OF,32,7,9,0,0,0,0,0,0,0,0,1,6,0,0,0,.000,.100,.000,.100
Nick Ahmed,TEX,SS,35,5,9,1,0,0,0,0,0,1,0,1,3,0,0,0,.000,.100,.000,.100
J.D. Davis,LAA,3B,32,5,9,0,1,0,0,0,0,0,0,0,3,0,0,0,.111,.111,.111,.222
Luke Maile,KC,C,34,3,8,2,3,0,0,1,1,0,0,2,1,0,0,0,.375,.500,.750,1.250
Jahmai Jones,DET,DH,27,5,8,1,4,1,0,1,1,0,0,0,2,0,0,0,.500,.500,1.000,1.500
Cal Stevenson,PHI,OF,28,5,8,0,2,0,0,0,1,0,0,0,2,0,0,0,.250,.250,.250,.500
Samad Taylor,SEA,2B,26,4,8,1,1,0,0,0,0,0,0,0,1,1,0,0,.125,.125,.125,.250
Rhylan Thomas,SEA,OF,25,3,8,2,1,1,0,0,2,0,0,1,0,0,1,0,.125,.200,.250,.450
Tsung-Che Cheng,PIT,2B,23,3,7,0,0,0,0,0,0,0,1,0,3,0,0,0,.000,.000,.000,.000
Tyler Tolbert,KC,SS,27,14,7,3,1,0,0,0,0,6,0,0,2,0,0,0,.143,.143,.143,.286
Victor Mesa,MIA,OF,23,4,7,1,1,0,0,0,1,0,0,2,1,1,0,0,.143,.333,.143,.476
Omar Narvaez,CWS,C,33,4,7,1,2,0,0,0,3,0,0,2,1,0,1,0,.286,.400,.286,.686
Rob Brantly,MIA,C,35,3,7,0,3,0,0,0,1,0,0,0,1,0,0,0,.429,.429,.429,.858
Dom Nunez,CLE,C,30,2,7,2,2,0,0,0,0,0,0,0,4,0,0,0,.286,.286,.286,.572
Andres Chaparro,WSH,DH,26,2,6,0,1,1,0,0,0,0,0,0,2,0,0,0,.167,.167,.333,.500
Nicky Lopez,LAA,2B,30,5,6,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000
Kody Clemens,PHI,3B,29,7,6,0,0,0,0,0,0,0,0,1,0,0,0,0,.000,.143,.000,.143
Tyler Callihan,CIN,2B,24,4,6,0,1,0,0,0,1,0,0,0,1,0,0,0,.167,.167,.167,.334
Dairon Blanco,KC,OF,32,9,6,2,1,1,0,0,1,3,2,0,2,2,0,0,.167,.167,.333,.500
Carson McCusker,MIN,OF,27,5,6,0,1,0,0,0,0,0,0,0,4,0,0,0,.167,.167,.167,.334
Jonathan Ornelas,TEX,SS,25,4,5,0,0,0,0,0,0,0,0,1,3,0,0,0,.000,.167,.000,.167
Mason McCoy,SD,SS,30,4,5,0,0,0,0,0,0,0,0,0,3,0,0,0,.000,.000,.000,.000
Shay Whitcomb,HOU,3B,26,3,5,0,0,0,0,0,0,0,0,0,2,0,0,0,.000,.000,.000,.000
Jack Winkler,MIA,3B,26,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,.000,.000,.000,.000
Logan Porter,SF,C,29,2,5,1,1,0,0,0,1,0,0,0,2,0,0,0,.200,.200,.200,.400
Chadwick Tromp,ATL,C,30,2,5,0,0,0,0,0,0,0,0,1,2,0,0,0,.000,.167,.000,.167
Chadwick Tromp,BAL,C,30,2,4,0,0,0,0,0,0,0,0,0,2,0,0,0,.000,.000,.000,.000
Brett Sullivan,PIT,C,31,2,4,1,1,0,0,0,2,0,0,1,2,0,1,1,.250,.429,.250,.679
Austin Wynns,ATH,C,34,3,4,0,0,0,0,0,0,0,0,1,3,0,0,0,.000,.200,.000,.200
Eddie Rosario,ATL,OF,33,3,4,1,0,0,0,0,0,0,0,0,2,0,0,0,.000,.000,.000,.000
Eddie Rosario,LAD,OF,33,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.250,.500
Trey Lipscomb,WSH,3B,24,3,4,1,2,0,0,0,0,0,0,0,1,0,0,0,.500,.500,.500,1.000
Richie Palacios,TB,2B,28,1,4,1,3,1,0,0,0,1,0,0,0,0,0,0,.750,.750,1.000,1.750
Cesar Salazar,HOU,C,29,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Ryan Fitzgerald,MIN,SS,30,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Brewer Hicklen,DET,OF,29,1,3,2,2,0,0,0,0,1,0,1,1,0,0,0,.667,.750,.667,1.417
Gage Workman,CWS,SS,25,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000
Greg Jones,CWS,OF,27,3,2,0,0,0,0,0,0,1,0,0,2,0,0,0,.000,.000,.000,.000
Hunter Feduccia,LAD,C,28,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,.000,.333,.000,.333
Jordyn Adams,BAL,OF,25,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Cooper Hummel,BAL,OF,30,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000
Niko Kavadas,LAA,DH,26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
