Team,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,year,year_W,League,Wins,Losses,Win_Pct,Home_Wins,Home_Losses,Away_Wins,Away_Losses,Home_WinDiff,Away_WinDiff,Total_WinDiff,Age_ERA,G_ERA,GS,CG,SHO,IP,H_ERA,ER,K,BB_ERA,HR_ERA,W,L,SV,BS,HLD,ERA,WHIP,year_ERA
ARI,-0.2288721404493603,0.9328308044839816,0.8989583215838498,1.235826589142149,0.9680678234410722,1.5483712434718482,1.6042753108383319,1.5837135620894733,1.3529772441581065,0.29078222611362764,0.31922085229963215,1.2340108793437028,0.18474320306623052,1.1560368554350924,1.7079283308045512,0.7588243899362658,-0.35550479191800477,0.14423830739212476,0.38797990015093287,0.30481885777619017,2025,0.0,National League,-0.0665155275795342,0.026344265427507535,-0.04442977086949216,-0.29891337189142553,0.514778549410335,0.19552021721501275,-0.5175111409847625,-0.4263454202694399,0.3731481827842179,-0.04687436423005715,-0.5493809288085314,0.11907266470917746,0.02129993142194863,-0.7823150379433614,-0.5613888358419084,0.051913642650512085,0.8100178443111532,1.1568432041336743,-0.30201636975676066,-0.17520573942051298,0.0011888381353177754,0.4194613218759572,-0.5250671541249392,-0.32333239318764434,0.4191283813718819,-0.038747357471952674,0.9212698509288516,0.8723300716351239,0.0
ATL,0.6455979484491332,-0.29068446672092196,-0.11128824779045805,-0.38876188113856225,-0.1270334574103795,-0.6605192111690156,-0.7686989010706955,-0.0940848605676823,-0.3668406999438114,-0.9141741438406422,-0.7870819522930883,0.1437358815508469,0.21749088996185637,-0.19515793068171933,-1.2499805298246816,-0.5815098701543184,-0.6958734089156448,-0.6990231034889469,-0.7797234165684965,-0.7756270862919208,2025,0.0,National League,-0.8084194890435655,0.6375312233456945,-0.7350461292648813,-0.5538688949752885,-0.24430168446592143,-0.8844962207345823,1.427947407532029,-0.16045257752075695,-1.2139754213246556,-0.7265526455658858,1.2330007865054688,-0.002170014328476595,0.5696629685128831,0.9675055669281505,0.5630157032693727,0.5826539147125248,0.23730074440568485,-0.5850132818798713,1.3927208724326,-0.1962383136821346,-1.009053764672036,0.7815999684678591,-0.12709267656671053,0.17407009077895672,0.1261775668631101,-0.8134039034651275,0.1091410536238562,-0.005904452671743452,0.0
BAL,-0.5614389732895325,-1.1609360095189234,-0.9875687869421266,-0.9336461217678668,-0.9155015230292414,-0.9121181239254289,-0.2416009707250492,-0.37185242398435275,-1.0269206875204553,-0.4350968553404394,-0.8423645733338766,-1.0902651512079937,-0.463888587569126,-1.2889822813477096,0.04887981856970475,-0.08881654276922281,-1.6833267677281116,-2.07370653818946,-1.268071548803326,-1.6347266334516377,2025,0.0,American League,-1.105181073629178,0.943124702304788,-1.044277334516548,-1.57369098731074,1.0208320386611727,-0.3444880017597848,0.5941794581676898,-1.3569703698898303,-0.4925556012751676,-1.028631881715143,0.7910879645267903,-0.24522727183320953,-0.4585177260326202,-0.7823150379433614,-0.5613888358419084,-0.43140658526656545,-0.5359261409903016,-0.640368890545556,-0.39498027913392975,-0.8193283261826615,-0.8362491089286724,0.20940056198486756,-1.0164020827541895,0.2015003748212324,-0.6702824600826123,1.0457718069184916,-0.4453880545047986,-0.8821321416649176,0.0
BOS,-1.1237629997854093,0.49108479209354117,0.9150066829279252,0.926724725021342,0.984888839752172,1.6772540198593242,0.09222771849386024,0.8194131891989535,0.9277486090240741,0.5580418879164241,-0.14211804015055562,0.6699758445910801,1.814063552876198,-0.5580935332727281,-0.7345597566523059,0.9104098122084151,0.6929851474103815,0.6527111122503242,1.250421757214381,1.0572521218649173,2025,0.0,American League,-0.0665155275795342,0.331937744386601,-0.18873766665360345,-0.0439578488075626,0.514778549410335,-0.07448389227238601,0.038334158591463705,-0.2933989988950984,-0.059703709245474856,-0.1979139823046857,1.2937637995275366,-0.38534263204182,-0.4585177260326202,-0.01676852331207498,0.4224651358804626,-0.3885820029454566,-0.22722339206794945,-0.34144860375085867,-0.5172217833474153,-1.1505913708031952,-0.13838415304201393,-0.32465221739925815,-0.30086577892518357,-0.3745355900665589,0.4832113720456755,-0.3776595963439668,0.03745542516014638,-0.19587582256952138,0.0
CHC,0.3906676852448251,0.7573323886955893,1.252444596452048,1.7841464176694946,1.3071795122728374,1.5483712434718482,1.8791930549009632,1.481046347820598,1.905681421990963,2.087539952450501,0.31922085229963215,1.1375488306449166,0.7228673552970462,-0.2571393428889123,1.0857851387164839,-0.9302703153819706,0.6231255392920394,0.5932389604625836,0.9825547684154906,0.8627841471250653,2025,0.0,National League,1.120530810762916,-1.0432329109293197,1.0791102748782304,0.4659531973601632,-1.003381918342178,1.5455407646520067,-0.7954337907728756,0.7701723720996333,1.2388519668436035,1.085922771329657,-0.1931724116984486,-0.9542959128889053,-0.676616661239242,-0.03996690254332606,-0.5613888358419084,-0.6933487714935346,-0.7735337113729608,-1.172789199348233,-0.7247991075617849,-0.9782676657733214,-0.765757699243152,-0.35216402724631923,-0.615268094243989,-0.677099935260146,0.32591675857363656,-0.852136730764786,-0.9706612976445972,-0.6475986731245822,0.0
CIN,-0.3334697733587682,-0.9423665539582894,-0.7475673530070359,-0.26782918712751835,-0.591961289296894,-0.22920678930087857,-0.686705889683595,-0.33029664678028375,-0.25409190206585547,-0.012817389703662977,0.8382271063060938,-0.13368316827836757,-0.232463170910338,-0.5263157616172943,-0.9583996352871661,-0.825088593805377,0.30049033420818005,0.3802747012849622,0.9678319621537004,0.7685384572919829,2025,0.0,National League,0.08186526471327206,0.026344265427507535,0.02772417702256349,-0.29891337189142553,0.2617518047849162,0.46552432670241156,-0.23958849119664938,-0.2933989988950984,0.3731481827842179,0.028645444807257142,0.7212372281495174,-0.15160180072607332,-0.22634789178041,0.007926525546998756,-0.5613888358419084,-0.2774726121295855,-0.34141021532524984,-0.23359445009255678,-0.24017024990299204,-0.34618021406336935,0.4334148753296349,-0.40562150975749656,0.18154418075308132,-0.6470687347446535,-1.730752596071522,-0.6072453065475891,-0.09926904010348786,0.09246022155314587,0.0
CLE,-0.5386420532964548,0.3635859430165038,-0.014742461782156532,-0.2917637828172045,-0.2847614714096153,-0.4639575605780677,-0.686705889683595,-0.10173987215790534,-0.33770203382556335,0.1748623728015713,0.3480545330777688,0.032254522637996254,0.1782034998273149,0.3316840730794229,1.2240391814027205,0.17413776117226093,-0.7326573031240683,-0.4421683835765493,-0.7112348822303124,-0.6296157652879508,2025,0.0,American League,0.08186526471327206,-0.27924921353158594,0.182339779648397,-0.0439578488075626,0.008725060159497386,0.19552021721501275,-0.5175111409847625,-0.02750615614641547,0.3731481827842179,0.17968506288188574,-0.6702720226371809,1.0047673948554285,0.23700339939641593,-0.7823150379433614,-0.5613888358419084,0.23148154645212887,-0.2754803735086854,-0.5941755895210877,0.4012287521416465,0.3730917137445072,0.25787479892121534,0.7710767609923104,-0.6487644645799759,1.399920025909626,-1.3133221251196463,1.9713528179068875,-1.0698758057852478,-0.7935639345073773,0.0
COL,-0.13969595341762064,-1.7879571351584949,-1.7764196539306996,-1.7691810985714411,-1.8260711959956575,-1.0615049783745496,2.039561738937498,-1.3016629389253922,-1.686197875112208,-1.4673355491192268,-0.6322906133788805,-1.6417639474888492,-0.7906068228521204,-0.5024824328757187,-1.420069384971565,-1.2063723345205286,-0.6282030383202566,-0.9650512062553566,-0.3885348778025786,-0.6322410548689754,2025,0.0,National League,-3.1825121657284656,3.235075794497989,-3.22951118496166,-3.1034241258139175,3.0450459956645233,-2.504520877658975,2.5396380066844815,-3.2182202691306108,-2.656815061423632,-3.2187063437972574,-1.0180763460586446,-0.9348859928600063,-0.676616661239242,-0.7823150379433614,-0.5613888358419084,-0.7088006292443502,0.7780873781599937,1.747303029900977,-1.7345605789548877,0.44939798107611695,1.038822388706188,-1.4914766232657877,0.9112093539245568,-0.7701966568581735,0.5123400041701274,-1.5915816155764528,3.0573651193926463,3.26094731326358,0.0
CWS,-0.2131020357953272,-1.6116262268849533,-2.0532982312723544,-1.6741389949600347,-2.023381717324854,-1.2945484713151771,-1.4967968421881483,-1.5620098831088831,-1.665792483496258,-0.8498691304770067,-1.1028562836780718,-1.0637151206613753,-1.7397232963492195,-0.06871584977904505,-0.9382540462100288,-1.9021494227496942,-0.9016073285231064,-0.6373779707099713,-1.2254584623717695,-1.0352277788100281,2025,0.0,American League,-1.698704242800403,1.8599051391820685,-1.7658168134371037,-0.8088244180591514,0.7678052940357538,-2.2345167681715763,2.5396380066844815,-0.8251846843924643,-2.512531097413734,-1.7838299720882858,-1.2287135806345795,-0.7456392725782469,-0.8818862473160629,-0.7823150379433614,-0.5613888358419084,-0.9408199307839469,-0.4693431951443038,0.09748881084527627,-0.8221597404812732,1.5395676680269539,-0.1301739770904057,-2.589664299375462,2.051985949547842,-2.317245118707737,1.806336650075182,-1.5379356141293319,-0.1716735964171455,0.6719528299160161,0.0
DET,-0.7997704095807823,-0.7804264573383645,-0.8974983187287237,-0.15329917965373335,-0.5915156415920287,-0.7355700232128326,0.5171005956815632,-0.3132965561058922,-0.15363648577470684,-1.6614134853462301,-2.3701751911883955,-0.6634414649471864,-0.42676151537787627,-0.942315681470248,-0.7523652015437153,-0.4282666442209562,1.7977256802886041,1.4657576923023858,1.1484591740815515,1.3162228362377209,2025,0.0,American League,1.5656731876413348,-1.3488263898884132,1.4295723074967863,0.975864243527889,-1.5094354075930154,1.8155448741394054,-0.7954337907728756,1.3019580575969991,1.383135930853501,1.4635218165162287,-1.794985869692433,1.1823480838922331,1.5567164352765672,0.19758450078468526,0.6979442479627265,1.6128796274601371,1.0997868246329352,0.6514095932768615,1.2037574974537002,0.17814150817472366,0.4775979813539437,1.2283732650497794,0.8640273237084384,1.315169906937629,1.6905349163399501,0.2323824336256582,-1.276083307874546,-1.5129184479139306,0.0
