Team,year,OPS,ERA,Win_Pct,Total_WinDiff
ARI,2025,0.30481885777619017,0.9212698509288516,-0.04442977086949216,-0.04687436423005715
ATL,2025,-0.7756270862919208,0.1091410536238562,-0.7350461292648813,-0.7265526455658858
BAL,2025,-1.6347266334516377,-0.4453880545047986,-1.044277334516548,-1.028631881715143
BOS,2025,1.0572521218649173,0.03745542516014638,-0.18873766665360345,-0.1979139823046857
CHC,2025,0.8627841471250653,-0.9706612976445972,1.0791102748782304,1.085922771329657
CIN,2025,0.7685384572919829,-0.09926904010348786,0.02772417702256349,0.028645444807257142
CLE,2025,-0.6296157652879508,-1.0698758057852478,0.182339779648397,0.17968506288188574
COL,2025,-0.6322410548689754,3.0573651193926463,-3.22951118496166,-3.2187063437972574
CWS,2025,-1.0352277788100281,-0.1716735964171455,-1.7658168134371037,-1.7838299720882858
DET,2025,1.3162228362377209,-1.276083307874546,1.4295723074967863,1.4635218165162287
HOU,2025,-0.7747226803118541,2.4134344029367827,0.5637249327921198,0.5572841080684572
KC,2025,0.10707315025237642,-0.517164963480134,-0.1165837187615478,-0.12239417326737143
LAA,2025,-1.066845811873132,-0.19649044077014724,-0.1165837187615478,-0.12239417326737143
LAD,2025,1.0992567551613108,-0.3552941895298218,0.9244946722523968,0.9348831532550286
MIA,2025,0.3127609102902156,-0.2056000874068372,-1.2916622987178814,-1.2551913088270856
MIL,2025,-0.16577482885874903,-1.213660324582747,0.2544937275404527,0.25520487191920005
MIN,2025,-0.13033341951491811,-0.6660640896707609,0.2544937275404527,0.25520487191920005
NYM,2025,1.0219300438656793,0.7055070629144798,1.5223416690722864,1.539041625553543
NYY,2025,1.9013543209710666,-0.30219837708975317,1.2646489980292306,1.2369623894042858
PHI,2025,0.008210271556424655,1.478367452223109,0.7183405354179521,0.7083237261430857
PIT,2025,-1.2964827120844038,0.21051149707272981,-1.0752004550417145,-1.1041516907524573
SD,2025,-1.6501876690156196,-0.6247834696138361,0.6461865875258964,0.6328039171057714
SEA,2025,0.209904110185865,-0.5262087557089373,-0.1165837187615478,-0.12239417326737143
SF,2025,-1.352954643666971,0.44846114217533783,0.7801867764682855,0.7838435351804
STL,2025,0.7859628391712364,-0.8261393530554667,0.182339779648397,0.17968506288188574
TB,2025,1.5324169748361969,-1.2487268533005838,0.2544937275404527,0.25520487191920005
TEX,2025,-1.313145707111072,0.20348268947824213,-0.27119932138738134,-0.273433791342
TOR,2025,0.8739591765715677,0.6438524756208663,0.5637249327921198,0.5572841080684572
WAS,2025,0.29544081798943006,0.4864338350118017,-0.6525844745311035,-0.6510328365285716
